⭐= Regional Variant,,,(⭐) = Evolves into a Regional Variant,,,,,,,
,,,,,,,,,,
FIBERNIA,,,,,,,,,,
,,,,,,,,,,
EVENT,,,,Keep playing the Talrega Lottery until its event is triggered.,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Jirachi,5,Event,,,,,,,,
,,,,,,,,,,
FIBERNIA WOODS,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,HEADBUTT,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Bellsprout,2-4,20%,,Hoothoot ⭐,5,20%,,,,
Spearow ⭐,2-4,20%,,Mankey,5,20%,,,,
Lotad,2-4,10%,,Sentret,5,20%,,,,
Hoppip,2-4,10%,,Swablu,5,20%,,,,
Nincada,2-4,10%,,Seedot,5,20%,,,,
Nidoran (M),3-5,9%,,,,,,,,
Nidoran (F),3-5,15%,,,,,,,,
Meowth,3-5,6%,,,,,,,,
,,,,,,,,,,
FIBERNIA PROMONTORY,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Koffing,2-5,20%,,,,,,,,
Rattata ⭐,2-5,24%,,,,,,,,
Grimer (Alola)⭐,2-5,15%,,,,,,,,
Wooper,2-5,15%,,,,,,,,
Venonat,2-5,20%,,,,,,,,
Gulpin ⭐,2-5,6%,,,,,,,,
,,,,,,,,,,
ABANDONED LAB,,,,,,,,,,
,,,,,,,,,,
FLOOR,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Magnemite,3-6,20%,,,,,,,,
Voltorb (Hisui)⭐,3-6,24%,,,,,,,,
Pikachu (⭐),3-6,15%,,,,,,,,
Grimer (Alola)⭐,3-6,15%,,,,,,,,
Koffing,3-6,20%,,,,,,,,
Elekid ⭐,4-6,6%,,,,,,,,
,,,,,,,,,,
COASTAL ROAD,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,FISHING,,,,EVENT,,
POKÉMON,LEVEL,ENCOUNTER %,,OLD ROD,,,,POKÉMON,LEVEL,ENCOUNTER %
Zigzagoon,3,20%,,POKÉMON,LEVEL,ENCOUNTER %,,Krabby Club,,
Poochyena ⭐,3-4,24%,,Carvanha,5,70%,,Aerodactyl,25,Sidequest
Pidgey,3,15%,,Magikarp,5,30%,,Porygon,???,Trade - Sidequest
Wingull,3,15%,,GOOD ROD,,,,Pokémon Lab,,
Oddish (⭐),2,20%,,POKÉMON,LEVEL,ENCOUNTER %,,Bulbasaur/ Charmander/ Squirtle,5,Sidequest
Jigglypuff ⭐,4-5,6%,,Staryu,5-15,60%,,,,
,,,,Carvanha,5-15,20%,,,,
,,,,Wailmer (⭐),5-15,20%,,Chikorita/ Cyndaquil/ Totodile,15,Sidequest
,,,,SUPER ROD,,,,,,
,,,,POKÉMON,LEVEL,ENCOUNTER %,,,,
,,,,Chinchou,15-25,40%,,Treecko/ Torchic/    Mudkip,25,Sidequest
,,,,Wailmer (⭐),15-25,30%,,,,
,,,,Sharpedo,20-30,15%,,,,
,,,,Seadra,20-30,10%,,,,
,,,,Gyarados,25-35,5%,,,,
,,,,,,,,,,
SEASIDE GROTTO,,,,,,,,,,
,,,,,,,,,,
CAVE,,,,FISHING,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,OLD ROD,,,,,,
Zubat,2-4,20%,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Paras,2-4,20%,,Magikarp,5,70%,,,,
Corphish,2-4,10%,,Poliwag,5,30%,,,,
Krabby ⭐,2-4,10%,,GOOD ROD,,,,,,
Makuhita,2-5,20%,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Geodude,3-5,14%,,Magikarp,5-15,60%,,,,
Dunsparce,4-5,6%,,Poliwag,5-15,20%,,,,
,,,,Feebas,5-15,20%,,,,
ROCK SMASH,,,,SUPER ROD,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Geodude,3-5,60%,,Poliwag,15-25,70%,,,,
Nosepass,3-5,40%,,Gyarados,20-30,15%,,,,
,,,,Poliwhirl,20-30,10%,,,,
,,,,Gyarados,25-35,5%,,,,
,,,,,,,,,,
TALREGA,,,,,,,,,,
,,,,,,,,,,
EVENT,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Clefairy,???,Trade - Sidequest,,,,,,,,
,,,,,,,,,,
TALREGA FARM,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,EVENT,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Mareep ⭐,3-4,20%,,Tauros,???,Trade - Sidequest,,,,
Marill,3-5,24%,,,,,,,,
Snubbull,3-5,15%,,,,,,,,
Exeggcute ⭐,3-5,15%,,,,,,,,
Paras,3-5,20%,,,,,,,,
Eevee (⭐),3-5,6%,,,,,,,,
,,,,,,,,,,
VARLEY WOODS,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,SPECIAL,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Natu ⭐,6-8,20%,,Sudowoodo,15,Event,,,,
Skitty,6-9,24%,,,,,,,,
Ralts ⭐,6-9,15%,,EVENT,,,,Retrieve the Offer. Bag in the First Stratum and present it at the shrine to initiate the battle.,,
Slakoth,6-9,15%,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Roselia,6-9,20%,,Celebi ⭐,50,Event,,,,
Yanma,7-9,6%,,,,,,,,
,,,,,,,,,,
WATERFALL WOOD,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,FISHING,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,OLD ROD,,,,,,
Surskit,10-12,20%,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Marill,10-13,24%,,Magikarp,5,70%,,,,
Psyduck,10-13,15%,,Goldeen,5,30%,,,,
Slowpoke,10-13,15%,,GOOD ROD,,,,,,
Oddish (⭐),10-13,20%,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Lickitung,12-13,6%,,Magikarp,5-15,60%,,,,
,,,,Feebas,5-15,20%,,,,
,,,,Goldeen,5-15,20%,,,,
,,,,SUPER ROD,,,,,,
,,,,POKÉMON,LEVEL,ENCOUNTER %,,,,
,,,,Poliwag,15-25,40%,,,,
,,,,Poliwag,15-25,30%,,,,
,,,,Poliwhirl,20-25,15%,,,,
,,,,Gyarados,25-30,10%,,,,
,,,,Poliwhirl,30-35,5%,,,,
,,,,,,,,,,
NORTHERN ATOLL,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,FISHING,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,OLD ROD,,,,,,
Krabby ⭐,14-16,20%,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Wingull,14-17,24%,,Magikarp,5,70%,,,,
Exeggcute ⭐,14-17,15%,,Carvanha,5,30%,,,,
Meditite ⭐,14-17,15%,,GOOD ROD,,,,,,
Mankey,14-17,20%,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Dratini,15-17,6%,,Horsea,5-15,60%,,,,
,,,,Magikarp,5-15,20%,,,,
,,,,Mantine ⭐,5-15,20%,,,,
,,,,SUPER ROD,,,,,,
,,,,POKÉMON,LEVEL,ENCOUNTER %,,,,
,,,,Horsea,15-25,40%,,,,
,,,,Horsea,15-25,30%,,,,
,,,,Gyarados,20-25,15%,,,,
,,,,Seadra,25-30,10%,,,,
,,,,Gyarados,25-35,5%,,,,
,,,,,,,,,,
PIRATE ISLAND,,,,,,,,,,
,,,,,,,,,,
FISHING,,,,,,,,,,
OLD ROD,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Magikarp,5,70%,,,,,,,,
Tentacool,5,30%,,,,,,,,
GOOD ROD,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Horsea,5-15,60%,,,,,,,,
Tentacool,5-15,20%,,,,,,,,
Remoraid,5-15,20%,,,,,,,,
SUPER ROD,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Horsea,15-25,40%,,,,,,,,
Tentacool,15-25,30%,,,,,,,,
Gyarados,15-25,15%,,,,,,,,
Seadra,25-35,10%,,,,,,,,
Tentacruel,25-35,5%,,,,,,,,
,,,,,,,,,,
JAGGED MOUNTAIN,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,FISHING,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,OLD ROD,,,,,,
Swablu,15-17,20%,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Sudowoodo,15-18,24%,,Magikarp,5,70%,,,,
Doduo,15-18,15%,,Tentacool,5,30%,,,,
Ponyta ⭐,15-18,15%,,GOOD ROD,,,,,,
Tyrogue,15-18,20%,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Beldum,16-18,6%,,Corsola ⭐,5-15,60%,,,,
,,,,Tentacool,5-15,20%,,,,
,,,,Shellder,5-15,20%,,,,
,,,,SUPER ROD,,,,,,
,,,,POKÉMON,LEVEL,ENCOUNTER %,,,,
,,,,Corsola ⭐,15-25,40%,,,,
,,,,Horsea,15-25,30%,,,,
,,,,Gyarados,15-25,15%,,,,
,,,,Horsea,25-35,10%,,,,
,,,,Seadra,25-35,5%,,,,
,,,,,,,,,,
FARAWAY ISLAND,,,,,,,,,,
,,,,,,,,,,
FISHING,,,,,,,,,,
OLD ROD,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Magikarp,5,70%,,,,,,,,
Magikarp,5,30%,,,,,,,,
GOOD ROD,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Horsea,5-15,60%,,,,,,,,
Magikarp,5-15,20%,,,,,,,,
Horsea,5-15,20%,,,,,,,,
SUPER ROD,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Horsea,15-25,40%,,,,,,,,
Horsea,15-25,30%,,,,,,,,
Gyarados,15-25,15%,,,,,,,,
Seadra,25-35,10%,,,,,,,,
Gyarados,25-35,5%,,,,,,,,
,,,,,,,,,,
AQUA RESORT,,,,,,,,,,
,,,,,,,,,,
FISHING,,,,EVENT,,,,,,
OLD ROD,,,,POKÉMON,LEVEL,ENCOUNTER %,,,,
POKÉMON,LEVEL,ENCOUNTER %,,Lapras,15,Sidequest,,,,
Magikarp,5,70%,,Kangaskhan,???,Trade - Sidequest,,,,
Corsola ⭐,5,30%,,,,,,,,
GOOD ROD,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Horsea,5-15,60%,,,,,,,,
Magikarp,5-15,20%,,,,,,,,
Corsola ⭐,5-15,20%,,,,,,,,
SUPER ROD,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Corsola ⭐,15-25,40%,,,,,,,,
Horsea,15-25,30%,,,,,,,,
Mantine ⭐,15-25,15%,,,,,,,,
Mantine ⭐,25-35,10%,,,,,,,,
Gyarados,25-35,5%,,,,,,,,
,,,,,,,,,,
FIRST STRATUM - EMERALD GROVE,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,HEADBUTT,,,,F.O.E.,,
POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %
Taillow,6-8,20%,,Spinarak,7,20%,,Stantler ⭐,28,Event
Wurmple (⭐),6-8,20%,,Volbeat ⭐,7,20%,,Confuse Ray,,
Caterpie,6-8,10%,,Illumise ⭐,7,20%,,Blaze Kick,,
Weedle,6-9,15%,,Ledyba,7,20%,,Baffling Step,,
Shroomish ⭐,6-9,20%,,Pineco,7,20%,,Zen Headbutt,,
Farfetch'd (Galar)⭐,7-9,9%,,,,,,,,
Sunkern ⭐,7-9,6%,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ARUNDEL WOODS,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,EVENT,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Snorunt,16-18,20%,,Regice ⭐,60,Event,,,,
Spheal,16-19,24%,,,,,,,,
Seel,16-19,15%,,,,,,,,
Swinub,16-19,15%,,,,,,,,
Smoochum ⭐,16-19,20%,,,,,,,,
Sneasel ⭐,17-19,6%,,,,,,,,
,,,,,,,,,,
YGGDRASIL (OUTSIDE),,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Houndour,12-15,20%,,,,,,,,
Spoink,12-15,24%,,,,,,,,
Teddiursa,12-15,15%,,,,,,,,
Abra,12-15,15%,,,,,,,,
Drowzee,12-15,20%,,,,,,,,
Tangela ⭐,13-15,6%,,,,,,,,
,,,,,,,,,,
SECOND STRATUM - GOLGONDA (LEFT SIDE),,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,ROCK SMASH,,,,F.O.E.,,
POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %
Sandshrew ⭐,13-15,20%,,Geodude,14-15,60%,,Sandslash ⭐,38,Event
Cacnea,13-16,24%,,Shuckle,14-18,40%,,Bulldoze,,
Baltoy ⭐,13-16,15%,,,,,,Night Slash,,
Trapinch,13-16,15%,,,,,,Rock Slide,,
Numel,13-16,20%,,,,,,X-Scissor,,
Gligar,14-16,6%,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CAVE OF ATHARI,,,,,,,,,,
,,,,,,,,,,
CAVE,,,,F.O.E.,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Whismur,13-15,20%,,Steelix,38,Event,,,,
Onix,13-16,24%,,Bullldoze,,,,,,
Aron ⭐,13-16,15%,,Iron Head,,,,,,
Meditite ⭐,13-16,15%,,Rock Slide,,,,,,
Duskull ⭐,13-16,20%,,Water Tackle,,,,,,
Shuppet,14-16,6%,,,,,,,,
,,,,,,,,,,
GORGE OF ZANADO,,,,,,,,,,
,,,,,,,,,,
HEADBUTT,,,,EVENT,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Aipom,18,20%,,Girafarig,20,Sidequest,,,,
Exeggcute ⭐,18,20%,,,,,,,,
Spearow ⭐,18,20%,,,,,,,,
Natu ⭐,18,20%,,,,,,,,
Hoppip,18,20%,,,,,,,,
,,,,,,,,,,
SECOND STRATUM - GOLGONDA (RIGHT SIDE),,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,SAND,,,,F.O.E.,,
POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %
Trapinch,16-18,20%,,Larvitar,16-20,65%,,Gliscor,38,Event
Ekans ⭐,16-18,20%,,Phanpy,16-21,35%,,Bullldoze,,
Diglett,16-18,10%,,,,,,Aerial Ace,,
Cubone ⭐,16-20,15%,,,,,,Rock Slide,,
Lileep,16-20,14%,,,,,,Poison Jab,,
Anorith,16-20,15%,,,,,,,,
Skarmory,18-20,6%,,,,,,,,
,,,,,,,,,,
SECOND STRATUM (SANDY CAVES),,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,FISHING,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,OLD ROD,,,,,,
Baltoy ⭐,16-18,20%,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Gastly,16-20,24%,,Omanyte ⭐,5,70%,,,,
Trapinch,16-20,15%,,Omanyte ⭐,5,30%,,,,
Cubone ⭐,16-20,15%,,GOOD ROD,,,,,,
Sableye,16-20,20%,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Misdreavus (⭐),18-20,6%,,Omanyte ⭐,5-15,60%,,,,
,,,,Omanyte ⭐,5-15,20%,,,,
SAND,,,,Relicanth ⭐,5-15,20%,,,,
POKÉMON,LEVEL,ENCOUNTER %,,SUPER ROD,,,,,,
Kabuto ⭐,15-18,100%,,POKÉMON,LEVEL,ENCOUNTER %,,,,
,,,,Omanyte ⭐,15-25,40%,,,,
,,,,Omanyte ⭐,15-25,30%,,,,
,,,,Relicanth ⭐,20-25,15%,,,,
,,,,Relicanth ⭐,25-30,10%,,,,
,,,,Relicanth ⭐,30-35,5%,,,,
,,,,,,,,,,
DESERT OF GOLGONDA,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,FISHING,,,,EVENT,,
POKÉMON,LEVEL,ENCOUNTER %,,OLD ROD,,,,POKÉMON,LEVEL,ENCOUNTER %
Trapinch,20-22,20%,,POKÉMON,LEVEL,ENCOUNTER %,,Regirock ⭐,60,Event
Baltoy ⭐,20-24,24%,,Magikarp,5,70%,,,,
Cacnea,20-24,15%,,Barboach ⭐,5,30%,,,,
Sandshrew ⭐,20-24,15%,,GOOD ROD,,,,,,
Numel,20-24,20%,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Murkrow,23-25,6%,,Barboach ⭐,5-15,60%,,,,
,,,,Magikarp,5-15,20%,,,,
SAND,,,,Psyduck,5-15,20%,,,,
POKÉMON,LEVEL,ENCOUNTER %,,SUPER ROD,,,,,,
Rhyhorn,20-26,66%,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Cubone ⭐,20-24,34%,,Barboach ⭐,15-25,40%,,,,
,,,,Psyduck,15-25,30%,,,,
,,,,Gyarados,20-30,15%,,,,
,,,,Golduck,20-30,10%,,,,
,,,,Whiscash ⭐,25-35,5%,,,,
,,,,,,,,,,
CHARON,,,,,,,,,,
,,,,,,,,,,
EVENT,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Farfetch'd ⭐,???,Trade - Sidequest,,,,,,,,
,,,,,,,,,,
BRIGIT FARM,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Mareep ⭐,23-25,20%,,,,,,,,
Electrike,23-26,24%,,,,,,,,
Surskit,23-26,15%,,,,,,,,
Pikachu,23-26,15%,,,,,,,,
Eevee (⭐),23-26,20%,,,,,,,,
Miltank,25-27,6%,,,,,,,,
,,,,,,,,,,
MAPLE ISLAND,,,,,,,,,,
,,,,,,,,,,
TALL GRASS,,,,,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,,,,,,,
Furret,16-18,20%,,,,,,,,
Spinarak,16-18,24%,,,,,,,,
Hoppip,16-18,15%,,,,,,,,
Nidorino,16-18,10%,,,,,,,,
Nidorina,16-18,10%,,,,,,,,
Pinsir,16-18,15%,,,,,,,,
Scyther,16-18,6%,,,,,,,,
,,,,,,,,,,
THIRD STRATUM (1),,,,,,,,,,
,,,,,,,,,,
SAND,,,,F.O.E.,,,,,,
POKÉMON,LEVEL,ENCOUNTER %,,POKÉMON,LEVEL,ENCOUNTER %,,,,
Slugma,26-28,20%,,Camerupt,48,Event,,,,
Magby ⭐,26-29,24%,,Heat Wave,,,,,,
Growlithe,26-29,15%,,Earth Power,,,,,,
Lunatone,26-29,15%,,Power Gem,,,,,,
Solrock,26-29,20%,,Flash Cannon,,,,,,
Torkoal,27-29,6%,,,,,,,,
,,,,,,,,,,
THIRD STRATUM (2),,,,,,,,,,
